ID;Name;Land_Nr;Erst_Ges;Zweit_Ges;Erst_Ges_AFD;Zweit_Ges_AFD;Anteil_AFD
31;Mittelems;3.0;179213.0;179439.0;8993.0;9235.0;5.14659577906698
32;Cloppenburg – Vechta;3.0;163186.0;163352.0;12674.0;12772.0;7.818698271217983
33;Diepholz – Nienburg I;3.0;145494.0;145972.0;9683.0;10372.0;7.10547228235552
34;Osterholz – Verden;3.0;149381.0;150219.0;;11329.0;7.541655849126941
35;Rotenburg I – Heidekreis;3.0;124166.0;124204.0;9182.0;9945.0;8.006988502785738
36;Harburg;3.0;160513.0;160742.0;11007.0;11671.0;7.2607034875763645
37;Lüchow-Dannenberg – Lüneburg;3.0;137637.0;138106.0;8603.0;9145.0;6.621725341404429
38;Osnabrück-Land;3.0;150586.0;150458.0;9418.0;10069.0;6.692233048425473
39;Stadt Osnabrück;3.0;148206.0;148510.0;6695.0;6903.0;4.648171840280116
40;Nienburg II – Schaumburg;3.0;141647.0;141792.0;11695.0;12434.0;8.769183028661702
41;Stadt Hannover I;3.0;127677.0;127586.0;7549.0;7677.0;6.017117865596538
42;Stadt Hannover II;3.0;142528.0;142450.0;6476.0;6753.0;4.740610740610741
43;Hannover-Land I;3.0;173117.0;172702.0;12942.0;13295.0;7.698231635997267
44;Celle – Uelzen;3.0;156634.0;156830.0;14498.0;14423.0;9.196582286552319
45;Gifhorn – Peine;3.0;165024.0;164830.0;15346.0;16048.0;9.736091730874234
46;Hameln-Pyrmont – Holzminden;3.0;131548.0;131609.0;11208.0;11590.0;8.806388620839002
47;Hannover-Land II;3.0;179548.0;179092.0;13377.0;13850.0;7.73345543072834
48;Hildesheim;3.0;160009.0;159778.0;11387.0;12161.0;7.611185519908874
49;Salzgitter – Wolfenbüttel;3.0;145424.0;145722.0;14331.0;14415.0;9.892123358175157
50;Braunschweig;3.0;139553.0;139294.0;8045.0;8238.0;5.9141097247548355
51;Helmstedt – Wolfsburg;3.0;129048.0;129204.0;12339.0;12241.0;9.474164886536022
52;Goslar – Northeim – Osterode;3.0;142067.0;142315.0;11240.0;11819.0;8.30481677967888
53;Göttingen;3.0;159477.0;160305.0;;9785.0;6.103989270453199
54;Bremen I;4.0;184971.0;185237.0;9099.0;9835.0;5.309414425843649
55;Bremen II – Bremerhaven;4.0;142086.0;142803.0;12466.0;12740.0;8.921381203476116
56;Prignitz – Ostprignitz-Ruppin – Havelland I;12.0;120837.0;121008.0;23799.0;23221.0;19.189640354356737
57;Uckermark – Barnim I;12.0;129150.0;129246.0;26163.0;25748.0;19.921699704439597
58;Oberhavel – Havelland II;12.0;192738.0;193088.0;30863.0;30793.0;15.947650812064964
59;Märkisch-Oderland – Barnim II;12.0;174209.0;174498.0;31929.0;31820.0;18.235166019094777
60;Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;12.0;145379.0;145579.0;23931.0;23845.0;16.379422856318563
61;Potsdam – Potsdam-Mittelmark II – Teltow-Fläming II;12.0;188845.0;188885.0;17302.0;18658.0;9.877968075813326
62;Dahme-Spreewald – Teltow-Fläming III – Oberspreewald-Lausitz I;12.0;191513.0;191730.0;33719.0;34411.0;17.947634694622646
63;Frankfurt (Oder) – Oder-Spree;12.0;140441.0;140590.0;30182.0;28338.0;20.156483391421865
64;Cottbus – Spree-Neiße;12.0;126363.0;126555.0;32530.0;30729.0;24.281142586227332
65;Elbe-Elster – Oberspreewald-Lausitz II;12.0;118283.0;118464.0;29560.0;29849.0;25.196684224743382
66;Altmark;15.0;107580.0;107744.0;20875.0;20629.0;19.14630977130977
67;Börde – Jerichower Land;15.0;146746.0;146963.0;29843.0;29604.0;20.143845729877587
68;Harz;15.0;136844.0;137050.0;24947.0;24790.0;18.088288945640276
69;Magdeburg;15.0;155292.0;155384.0;23398.0;23446.0;15.089069659681819
70;Dessau – Wittenberg;15.0;113819.0;113969.0;22002.0;21630.0;18.978845124551412
71;Anhalt;15.0;137196.0;137446.0;33225.0;31003.0;22.55649491436637
72;Halle;15.0;147071.0;147224.0;22517.0;21914.0;14.884801391077543
73;Burgenland – Saalekreis;15.0;124293.0;124579.0;32328.0;31000.0;24.88380866759245
74;Mansfeld;15.0;131337.0;131581.0;32930.0;31476.0;23.92138682636551
75;Berlin-Mitte;11.0;150210.0;150419.0;7597.0;7734.0;5.141637692046882
76;Berlin-Pankow;11.0;182106.0;182384.0;16242.0;15962.0;8.751864198613914
77;Berlin-Reinickendorf;11.0;125626.0;125899.0;12249.0;12296.0;9.766558908331282
78;Berlin-Spandau – Charlottenburg Nord;11.0;123157.0;123529.0;12447.0;12783.0;10.348177351067362
